mass,Int
711.3604736,58950.4
711.4103394,99118.6
711.460144,111567
711.5099487,101913
711.5597534,60572.8
711.6096191,28166.5
711.6594238,16958.1
711.7092285,12879.8
711.7590332,11933.9
711.8088379,11599.9
711.8587036,10902.9
711.9085083,10456.6
711.958313,10085.5
712.0081177,9853.42
712.0579834,9665.25
712.1077881,9606.18
712.1575928,10085.6
712.2073975,11478.5
712.2572632,15177.2
712.3070679,25254.3
712.3568726,45817.1
712.4066772,74631.6
712.456543,94860.9
712.5063477,103880
712.5561523,70185.3
712.605957,29856.6
712.6557617,17040.6
712.7056274,13203.7
712.7554321,12160.6
712.8052368,11726
712.8550415,11277.3
712.9049072,10948.3
712.9547119,10624.3
713.0045166,10341.8
713.0543213,10004.6
713.104187,10045.2
713.1539917,10385.8
713.2037964,11515.9
713.2536011,15384.2
713.3034668,27716
713.3532715,55959.2
713.4030762,83948.3
713.4528809,106310
713.5027466,112036
713.5525513,63364.8
713.602356,29670.6
713.6521606,16999.7
713.7019653,13107.5
713.7518311,11866.9
713.8016357,11340.2
713.8514404,11193.7
713.9012451,11281.4
713.9511108,10901.1
714.0009155,10479.3
714.0507202,10155.8
714.1005249,9944.52
714.1503906,10196.8
714.2001953,11420.3
714.25,16103.7
714.2998047,24492
714.3496704,39462.7
714.3994751,68351.5
714.4492798,90398.5
714.4990845,96598.3
714.5489502,60091.9
714.5987549,29115.9
714.6485596,17052.2
714.6983643,12905.6
714.7481689,11670.6
714.7980347,11350.6
714.8478394,11327.6
714.897644,11464.7
714.9474487,11344.9
714.9973145,11184.7
715.0471191,10836.5
715.0969238,10340.4
715.1467285,10419.1
715.1965942,11171.2
715.2463989,12743.3
715.2962036,19225.7
715.3460083,41246.5
715.395874,119948
715.4456787,247891
715.4954834,314306
715.5452881,144217
715.5951538,54522
715.6449585,27107.8
715.6947632,18461.4
715.7445679,15531.3
715.7943726,14178.4
715.8442383,14002.1
715.894043,13679.9
715.9438477,12327.5
715.9936523,11628
716.0435181,11336.3
716.0933228,11342.2
716.1431274,11857
716.1929321,12574.1
716.2427979,13258.8
716.2926025,16473.3
716.3424072,27748
716.3922119,64735.6
716.4420776,128118
716.4918823,167254
716.541687,94280.6
716.5914917,39880.9
716.6413574,20758.3
716.6911621,15180.3
716.7409668,13519.5
716.7907715,13350.1
716.8405762,13706.8
716.8904419,13627.2
716.9402466,13188.8
716.9900513,12598.8
717.039856,11803.2
717.0897217,11108.3
717.1395264,11242.3
717.1893311,12306.4
717.2391357,14563.5
717.2890015,21338.9
717.3388062,40933.4
717.3886108,86542.2
717.4384155,142189
717.4882813,147467
717.5380859,76075.9
717.5878906,33466
717.6376953,18646.2
717.687561,14407.8
717.7373657,13844.8
717.7871704,13408.6
717.8369751,13216.1
717.8867798,12527.4
717.9366455,11648.5
717.9864502,11074.5
718.0362549,10645.7
718.0860596,10370.5
718.1359253,10347.3
718.18573,10964.5
718.2355347,12828.6
718.2853394,18389.8
718.3352051,35255.7
718.3850098,78177.4
718.4348145,139854
718.4846191,159030
718.5344849,78195.9
718.5842896,31589.7
718.6340942,20286.7
718.6838989,15946.6
718.7337646,13889.6
718.7835693,13410.5
718.833374,13117.8
718.8831787,12720.7
718.9329834,11731.5
718.9828491,11025.8
719.0326538,10454.7
719.0824585,10206.7
719.1322632,10611.3
719.1821289,11528.3
719.2319336,13723.2
719.2817383,22395.3
719.331543,45266.8
719.3814087,79648.4
719.4312134,89702.6
719.4810181,87547.5
719.5308228,62538.1
719.5806885,28879.6
719.6304932,16960.4
719.6802979,13014.4
719.7301025,11723.5
719.7799683,11454
719.8297729,11247.6
719.8795776,10893.8
719.9293823,10446.9
719.979187,10135.6
720.0290527,9812.76
720.0788574,9642.08
720.1286621,9694.61
720.1784668,10377.8
720.2283325,12604.2
720.2781372,17052.2
720.3279419,28676.3
720.3777466,57215.5
720.4276123,83554.9
720.477417,75731.7
720.5272217,43896.9
720.5770264,22912
720.6268921,14986.3
720.6766968,11894.5
720.7265015,10848.5
720.7763062,10481.5
720.8261719,10238.4
720.8759766,9979.31
720.9257813,9660.01
720.9755859,9480.1
721.0253906,9265.71
721.0752563,9242.97
721.125061,9166.42
721.1748657,9522.75
721.2246704,10849.8
721.2745361,14676
721.3243408,26426.8
721.3741455,51450.3
721.4239502,78095
721.4738159,77416.3
721.5236206,48521.4
721.5734253,23225.3
721.62323,14665.3
721.6730957,11757.4
